typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","314972041","false","-1","N/A",,"false","314972041","false",,"false","46603057",,"46603057","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","32","ARG","Argentina","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4373873","false","-1","N/A",,"false","4373873","false",,"false","619895",,"619895","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","100","BGR","Bulgaria","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29022654","false","-1","N/A",,"false","29022654","false",,"false","4340210",,"4340210","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","251","FRA","France","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","78","false","-1","N/A",,"false","78","false",,"false","605",,"605","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","300","GRC","Greece","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3180060","false","-1","N/A",,"false","3180060","false",,"false","543134",,"543134","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","348","HUN","Hungary","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5436000","false","-1","N/A",,"false","5436000","false",,"false","1070465",,"1070465","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1886064","false","-1","N/A",,"false","1886064","false",,"false","326147",,"326147","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","643","RUS","Russian Federation","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","233848159","false","-1","N/A",,"false","233848159","false",,"false","34362485",,"34362485","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","757","CHE","Switzerland","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","380760","false","-1","N/A",,"false","380760","false",,"false","63896",,"63896","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46508","false","-1","N/A",,"false","46508","false",,"false","17684",,"17684","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","804","UKR","Ukraine","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35642730","false","-1","N/A",,"false","35642730","false",,"false","5085096",,"5085096","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","891","SCG","Serbia and Montenegro (...2005)","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1155155","false","-1","N/A",,"false","1155155","false",,"false","173439",,"173439","0","true","false",
